更新日期,更新時間,地區,個案數目,死亡個案
08/02/2020,23:59,佛山,65,
08/02/2020,23:59,韶關,6,
08/02/2020,23:59,梅州,13,
08/02/2020,23:59,惠州,47,
08/02/2020,23:59,汕尾,5,
08/02/2020,23:59,東莞,58,
08/02/2020,23:59,中山,51,
08/02/2020,23:59,陽江,13,
08/02/2020,23:59,湛江,21,
08/02/2020,23:59,肇慶,14,
08/02/2020,23:59,清遠,10,
08/02/2020,23:59,揭陽,7,
08/02/2020,23:59,河源,3,
08/02/2020,23:59,江門,17,
08/02/2020,23:59,茂名,9,
08/02/2020,23:59,潮州,5,
09/02/2020,12:00,廣州,307,
09/02/2020,12:00,深圳,366,
09/02/2020,12:00,珠海,83,
09/02/2020,12:00,汕頭,25,
09/02/2020,12:00,佛山,67,
09/02/2020,12:00,韶關,6,
09/02/2020,12:00,梅州,13,
09/02/2020,12:00,惠州,48,
09/02/2020,12:00,汕尾,5,
09/02/2020,12:00,東莞,58,
09/02/2020,12:00,中山,51,
09/02/2020,12:00,陽江,13,
09/02/2020,12:00,湛江,21,
09/02/2020,12:00,肇慶,14,
09/02/2020,12:00,清遠,10,
09/02/2020,12:00,揭陽,7,
09/02/2020,12:00,河源,3,
09/02/2020,12:00,江門,19,
09/02/2020,12:00,茂名,10,
09/02/2020,12:00,潮州,5,
09/02/2020,23:59,廣州,313,
09/02/2020,23:59,深圳,368,
09/02/2020,23:59,珠海,85,
09/02/2020,23:59,汕頭,25,
09/02/2020,23:59,佛山,68,
09/02/2020,23:59,韶關,6,
09/02/2020,23:59,梅州,13,
09/02/2020,23:59,惠州,50,
09/02/2020,23:59,汕尾,5,
09/02/2020,23:59,東莞,60,
09/02/2020,23:59,中山,56,
09/02/2020,23:59,陽江,13,
09/02/2020,23:59,湛江,21,
09/02/2020,23:59,肇慶,14,
09/02/2020,23:59,清遠,10,
09/02/2020,23:59,揭陽,7,
09/02/2020,23:59,河源,3,
09/02/2020,23:59,江門,19,
09/02/2020,23:59,茂名,10,
09/02/2020,23:59,潮州,5,
10/02/2020,12:00,廣州,314,0
10/02/2020,12:00,深圳,369,0
10/02/2020,12:00,珠海,85,0
10/02/2020,12:00,汕頭,25,0
10/02/2020,12:00,佛山,70,0
10/02/2020,12:00,韶關,6,0
10/02/2020,12:00,梅州,13,0
10/02/2020,12:00,惠州,52,0
10/02/2020,12:00,汕尾,5,0
10/02/2020,12:00,東莞,60,0
10/02/2020,12:00,中山,56,0
10/02/2020,12:00,陽江,13,0
10/02/2020,12:00,湛江,21,0
10/02/2020,12:00,肇慶,15,1
10/02/2020,12:00,清遠,10,0
10/02/2020,12:00,揭陽,7,0
10/02/2020,12:00,河源,3,0
10/02/2020,12:00,江門,20,0
10/02/2020,12:00,茂名,10,0
10/02/2020,12:00,潮州,5,0
10/02/2020,23:59,廣州,317,0
10/02/2020,23:59,深圳,375,0
10/02/2020,23:59,珠海,86,0
10/02/2020,23:59,汕頭,25,0
10/02/2020,23:59,佛山,70,0
10/02/2020,23:59,韶關,7,0
10/02/2020,23:59,梅州,13,0
10/02/2020,23:59,惠州,53,0
10/02/2020,23:59,汕尾,5,0
10/02/2020,23:59,東莞,62,0
10/02/2020,23:59,中山,58,0
10/02/2020,23:59,陽江,13,0
10/02/2020,23:59,湛江,21,0
10/02/2020,23:59,肇慶,15,1
10/02/2020,23:59,清遠,10,0
10/02/2020,23:59,揭陽,8,0
10/02/2020,23:59,河源,3,0
10/02/2020,23:59,江門,20,0
10/02/2020,23:59,茂名,11,0
10/02/2020,23:59,潮州,5,0
11/02/2020,23:59,廣州,323,0
11/02/2020,23:59,深圳,386,0
11/02/2020,23:59,珠海,87,0
11/02/2020,23:59,汕頭,25,0
11/02/2020,23:59,佛山,78,0
11/02/2020,23:59,韶關,7,0
11/02/2020,23:59,梅州,13,0
